,id,name,yelp_review_count,yelp_rating,price,main_category,categories,url,google_rating,google_review_count
0,VA8aPObRynlwR1TGzbzraQ,Founding Farmers - Washington,16576,4.0,$$,American,"['American', 'Coffee & Tea', 'Breakfast & Brunch']",https://www.yelp.com/biz/founding-farmers-washington-washington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,15314.0
1,iyBbcXtQSBfiwFQZwVBNaQ,Old Ebbitt Grill,10475,4.0,$$,Bars,"['Bars', 'American', 'Breakfast & Brunch']",https://www.yelp.com/biz/old-ebbitt-grill-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,16027.0
2,GBkFa8TJwkaUJsJXXGkTTg,Zaytinya,5702,4.0,$$$,Greek,"['Greek', 'Turkish', 'Lebanese']",https://www.yelp.com/biz/zaytinya-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,6962.0
3,Es64Je53efmpWh-BXHjguQ,Baked & Wired,5093,4.5,$$,Bakeries,"['Bakeries', 'Coffee & Tea', 'Cupcakes']",https://www.yelp.com/biz/baked-and-wired-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,3292.0
4,j9qYRR8HCXm_GEnetijOGA,Le Diplomate,5027,4.5,$$$,Brasseries,"['Brasseries', 'French', 'Breakfast & Brunch']",https://www.yelp.com/biz/le-diplomate-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,6163.0
5,sxNUpaApjh_54-l9RcJRDA,Farmers Fishers Bakers,4737,4.0,$$,New American,"['New American', 'Breakfast & Brunch', 'Seafood']",https://www.yelp.com/biz/farmers-fishers-bakers-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,5426.0
6,9X0F8gl4mPSSFHkxSB2lXA,il Canale,4556,4.5,$$,Italian,"['Italian', 'Pizza', 'Wine Bars']",https://www.yelp.com/biz/il-canale-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,3002.0
7,eaf-pRz8ulVF3UZe8nB2Xw,Georgetown Cupcake,4220,3.5,$$,Cupcakes,['Cupcakes'],https://www.yelp.com/biz/georgetown-cupcake-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,5679.0
8,5HmG3AWHUiB3jjbPFaiVEQ,Ben's Chili Bowl,4175,3.5,$$,Hot Dogs,"['Hot Dogs', 'Burgers', 'Sandwiches']",https://www.yelp.com/biz/bens-chili-bowl-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,6499.0
9,CwdlygqT4cWwOtQGsYdoBw,Rasika,3736,4.5,$$,Indian,['Indian'],https://www.yelp.com/biz/rasika-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,2001.0
10,LofSIdn9SeuHs09WU1IdGw,Daikaya Ramen Shop,3578,4.0,$$,Ramen,"['Ramen', 'Izakaya', 'Bars']",https://www.yelp.com/biz/daikaya-ramen-shop-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,4704.0
11,D-RWa2Ans-ZhaFR3FbPUhg,Founding Farmers - Tysons,3429,3.5,$$,New American,"['New American', 'Breakfast & Brunch', 'Cocktail Bars']",https://www.yelp.com/biz/founding-farmers-tysons-tysons-6?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,6438.0
12,6Qhmt1jo7BMcFcp41fPFVg,The Hamilton,3385,4.0,$$,Seafood,"['Seafood', 'New American', 'Music Venues']",https://www.yelp.com/biz/the-hamilton-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,8194.0
13,U0tfep9yNBASTe2zAG6cPw,Filomena Ristorante,3356,4.0,$$$,Italian,"['Italian', 'Wine Bars']",https://www.yelp.com/biz/filomena-ristorante-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,4367.0
